ID,CATEGORY_ID,FILE_ID,FRAN_NAME,CREATED_AT
101,1,60,파스쿠찌,2025-11-03 16:31:47
102,1,61,코페아커피(COFFEA COFFEE),2025-11-03 16:31:47
103,1,14,카카듀,2025-11-03 16:31:47
104,1,62,크렘드마롱,2025-11-03 16:31:47
105,1,63,커피코트,2025-11-03 16:31:47
106,1,14,cafe65℃,2025-11-03 16:31:47
107,1,14,싼다방,2025-11-03 16:31:47
108,1,14,심쿵다방,2025-11-03 16:31:47
109,1,14,디쉬룸,2025-11-03 16:31:47
110,1,14,카페70도씨,2025-11-03 16:31:47
111,1,14,포비엔,2025-11-03 16:31:47
112,1,14,DELIGHT6(딜라잇식스),2025-11-03 16:31:47
113,1,14,와리터(waliter),2025-11-03 16:31:47
114,1,14,와카페편의점,2025-11-03 16:31:47
115,1,14,카페암브레,2025-11-03 16:31:47
116,1,14,디에스랩(DS_LAB),2025-11-03 16:31:47
117,1,14,바다CCM(씨씨엠)커피,2025-11-03 16:31:47
118,1,14,바다마라나타 베이커리&amp;커피,2025-11-03 16:31:47
119,1,14,티톡(teatalk),2025-11-03 16:31:47
120,1,14,카페 인기가요,2025-11-03 16:31:47
121,1,14,오하오,2025-11-03 16:31:47
122,1,14,에이에스커피(AS COFFEE),2025-11-03 16:31:47
123,1,14,듀먼카페,2025-11-03 16:31:47
124,1,14,티모르 커피,2025-11-03 16:31:47
125,1,14,커피 로드뷰,2025-11-03 16:31:47
126,1,14,LJ COFFEE,2025-11-03 16:31:47
127,1,14,여자커피,2025-11-03 16:31:47
128,1,14,45초 커피,2025-11-03 16:31:47
129,1,14,호이안로스터리,2025-11-03 16:31:47
130,1,64,커피에반하다,2025-11-03 16:31:47
131,1,65,커피에반하다 스마트카페,2025-11-03 16:31:47
132,1,14,VANADA COFFEE,2025-11-03 16:31:47
133,1,14,커피라빈트,2025-11-03 16:31:47
134,1,14,커피아트,2025-11-03 16:31:47
135,1,14,베콩,2025-11-03 16:31:47
136,1,66,커피펍스,2025-11-03 16:31:47
137,1,14,커피작(COFFEE ZAK),2025-11-03 16:31:47
138,1,14,퀸즈브라운,2025-11-03 16:31:47
139,1,14,핸드메이드,2025-11-03 16:31:47
140,1,67,달.콤(dal.komm),2025-11-03 16:31:47
141,1,14,달콤.엔(Dal.Komm.N),2025-11-03 16:31:47
142,1,14,힐링초이스,2025-11-03 16:31:47
143,1,68,베스트빈,2025-11-03 16:31:47
144,1,69,테라커피(TERA COFFEE),2025-11-03 16:31:47
145,1,70,피에스타7커피,2025-11-03 16:31:47
146,1,71,메일빈24,2025-11-03 16:31:47
147,1,14,미즈스타커피,2025-11-03 16:31:47
148,1,14,"카페안시,스튜디오안시",2025-11-03 16:31:47
149,1,14,카페판다,2025-11-03 16:31:47
150,1,14,캣츠핸즈커피  (CAT's hands coffee),2025-11-03 16:31:47
151,1,14,버블커피(BUBBLE COFFEE),2025-11-03 16:31:47
152,1,14,디저트 참 잘하는 집,2025-11-03 16:31:47
153,1,14,왓커피,2025-11-03 16:31:47
154,1,14,슈퍼브카페,2025-11-03 16:31:47
155,1,14,카페 낮앤달,2025-11-03 16:31:47
156,1,14,LUCKY SPOT(럭키스팟),2025-11-03 16:31:47
157,1,14,에이쓰리바우트커피,2025-11-03 16:31:47
158,1,14,퐁커피,2025-11-03 16:31:47
